scores
46
50
80
78
60
60
42
66
53
63
67
50
53
42
42
53
74
42
42
51
69
63
51
56
51
43
83
43
44
42
52
77
68
86
50
93
61
43
43
43
42
51
51
57
43
52
43
51
43
52
59
84
43
42
